AAA,SOLD PRICE,SQFT,BEDS,BATH,PARK,Bay Street,Dufferin Grove,Kensington / China town,Little Portugal,Niagara,Palmerston / Little Italy,Trinity Bellwoods,University,Waterfront
adfgh,955000,1200-1399,2,2,,1,,,,,,,,
adfgh,822000,900-999,2,2,,1,,,,,,,,
adfgh,594800,500-599,1,1,,1,,,,,,,,
adfgh,650000,500-599,1,1,,1,,,,,,,,
adfgh,435000,0-499,0,1,,1,,,,,,,,
adfgh,519900,500-599,1,1,,1,,,,,,,,
adfgh,873000,900-999,2,2,,1,,,,,,,,
adfgh,625000,700-799,1,1,,1,,,,,,,,
adfgh,440000,600-699,1,1,,1,,,,,,,,
adfgh,630000,600-699,1,1,,1,,,,,,,,
adfgh,703880,500-599,1,1,,1,,,,,,,,
adfgh,679000,600-699,1,1,,1,,,,,,,,
adfgh,603600,600-699,1,1,,1,,,,,,,,
adfgh,635000,700-799,1,1,,1,,,,,,,,
adfgh,715000,800-899,2,1,,1,,,,,,,,
adfgh,960000,1100-1299,1,2,,1,,,,,,,,
adfgh,780000,1000-1199,1,2,,1,,,,,,,,
adfgh,517000,600-699,1,1,,1,,,,,,,,
adfgh,484000,0-499,0,1,,1,,,,,,,,
adfgh,2850000,2500-2749,2,3,,1,,,,,,,,
adfgh,596000,600-699,1,1,,1,,,,,,,,
adfgh,532000,600-699,1,1,,1,,,,,,,,
adfgh,425000,500-599,0,1,,1,,,,,,,,
adfgh,625000,500-599,1,1,,1,,,,,,,,
adfgh,675000,600-699,1,1,,1,,,,,,,,
adfgh,920000,800-899,2,2,,1,,,,,,,,
adfgh,673800,500-599,1,1,,1,,,,,,,,
adfgh,728000,700-799,1,2,,1,,,,,,,,
adfgh,308000,0-499,0,1,,1,,,,,,,,
adfgh,1100000,1400-1599,2,2,,1,,,,,,,,
adfgh,525000,500-599,1,1,,1,,,,,,,,
adfgh,885000,800-899,2,2,,1,,,,,,,,
adfgh,951600,800-899,2,2,,1,,,,,,,,
adfgh,570000,800-899,1,1,,1,,,,,,,,
adfgh,1250000,1200-1399,2,2,,1,,,,,,,,
adfgh,690000,600-699,1,1,,1,,,,,,,,
adfgh,440000,0-499,1,1,,1,,,,,,,,
adfgh,827000,700-799,2,2,,1,,,,,,,,
adfgh,665000,700-799,1,2,,1,,,,,,,,
adfgh,660000,900-999,1,2,,1,,,,,,,,
adfgh,846300,700-799,2,2,,1,,,,,,,,
adfgh,625000,700-799,1,1,,1,,,,,,,,
adfgh,1565000,1000-1199,1,2,,1,,,,,,,,
adfgh,652000,700-799,1,2,,1,,,,,,,,
adfgh,827000,700-799,2,2,,1,,,,,,,,
adfgh,790000,800-899,2,2,,1,,,,,,,,
adfgh,838000,900-999,2,2,,1,,,,,,,,
adfgh,620000,500-599,1,1,0,1,,,,,,,,
adfgh,780000,500-599,1,1,,1,,,,,,,,
adfgh,1090000,800-899,2,2,,1,,,,,,,,
adfgh,645000,600-699,1,1,,1,,,,,,,,
adfgh,760000,700-799,1,2,,1,,,,,,,,
adfgh,643000,600-699,1,1,,1,,,,,,,,
adfgh,1920000,2000-2249,2,2,,1,,,,,,,,
adfgh,573800,600-699,1,1,,1,,,,,,,,
adfgh,652000,500-599,1,1,,1,,,,,,,,
adfgh,494500,500-599,1,1,,1,,,,,,,,
adfgh,5000,,,0,,1,,,,,,,,
adfgh,1090000,900-999,2,2,,1,,,,,,,,
adfgh,548000,0-499,1,1,,1,,,,,,,,
